[2025-01-17 12:59:58,912] 16 root - INFO - Initate the data ingestion
[2025-01-17 13:00:05,850] 59 root - INFO - Performed train test split as dataframe
[2025-01-17 13:00:05,850] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-17 13:00:05,850] 63 root - INFO - Exporting train and test file path
[2025-01-17 13:00:06,025] 68 root - INFO - Exporting  train and test file path
[2025-01-17 13:00:06,025] 19 root - INFO - Data initiation completed
[2025-01-17 13:00:06,025] 22 root - INFO - Initate the data validation
[2025-01-17 13:00:06,118] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 13:00:06,118] 33 root - INFO - Data frame has columns: 50
[2025-01-17 13:00:06,118] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 13:00:06,118] 33 root - INFO - Data frame has columns: 50
[2025-01-17 13:00:06,392] 24 root - INFO - data validation is completed
[2025-01-17 13:00:06,392] 27 root - INFO - data transformation started
[2025-01-17 13:00:06,392] 56 root - INFO - Entered initate_data_transformation method of Datatransformation class
[2025-01-17 13:00:06,392] 58 root - INFO - Starting data transforamtion
[2025-01-17 13:00:06,436] 44 root - INFO - Entered get_data_transformer object method of transformation class
[2025-01-17 13:00:06,436] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 13:00:06,451] 45 root - INFO - Entered save_object method of mainutils class
[2025-01-17 13:00:06,455] 49 root - INFO - Exited the save_object method of mainutils class
[2025-01-17 13:00:06,457] 31 root - INFO - data transformation Completed
[2025-01-17 13:00:06,457] 32 root - INFO - model Training Started
