[2025-01-17 13:11:08,705] 16 root - INFO - Initate the data ingestion
[2025-01-17 13:11:14,441] 59 root - INFO - Performed train test split as dataframe
[2025-01-17 13:11:14,441] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-17 13:11:14,441] 63 root - INFO - Exporting train and test file path
[2025-01-17 13:11:14,617] 68 root - INFO - Exporting  train and test file path
[2025-01-17 13:11:14,617] 19 root - INFO - Data initiation completed
[2025-01-17 13:11:14,637] 22 root - INFO - Initate the data validation
[2025-01-17 13:11:14,698] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 13:11:14,698] 33 root - INFO - Data frame has columns: 50
[2025-01-17 13:11:14,698] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 13:11:14,698] 33 root - INFO - Data frame has columns: 50
[2025-01-17 13:11:14,962] 24 root - INFO - data validation is completed
[2025-01-17 13:11:14,962] 27 root - INFO - data transformation started
[2025-01-17 13:11:14,962] 56 root - INFO - Entered initate_data_transformation method of Datatransformation class
[2025-01-17 13:11:14,962] 58 root - INFO - Starting data transforamtion
[2025-01-17 13:11:15,003] 44 root - INFO - Entered get_data_transformer object method of transformation class
[2025-01-17 13:11:15,003] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 13:11:15,016] 45 root - INFO - Entered save_object method of mainutils class
[2025-01-17 13:11:15,016] 49 root - INFO - Exited the save_object method of mainutils class
[2025-01-17 13:11:15,030] 31 root - INFO - data transformation Completed
[2025-01-17 13:11:15,030] 32 root - INFO - model Training Started
[2025-01-17 13:15:01,833] 45 root - INFO - Entered save_object method of mainutils class
[2025-01-17 13:15:01,833] 49 root - INFO - Exited the save_object method of mainutils class
[2025-01-17 13:15:01,833] 82 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_17_2025_13_11_02\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, recall_score=1.0, precision_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, recall_score=1.0, precision_score=1.0))
