[2025-01-17 12:02:11,881] 16 root - INFO - Initate the data ingestion
[2025-01-17 12:02:19,271] 59 root - INFO - Performed train test split as dataframe
[2025-01-17 12:02:19,273] 60 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-01-17 12:02:19,273] 63 root - INFO - Exporting train and test file path
[2025-01-17 12:02:19,446] 68 root - INFO - Exporting  train and test file path
[2025-01-17 12:02:19,446] 19 root - INFO - Data initiation completed
[2025-01-17 12:02:19,457] 22 root - INFO - Initate the data validation
[2025-01-17 12:02:19,528] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 12:02:19,529] 33 root - INFO - Data frame has columns: 50
[2025-01-17 12:02:19,529] 32 root - INFO - Required Number of  columns: 3
[2025-01-17 12:02:19,529] 33 root - INFO - Data frame has columns: 50
[2025-01-17 12:02:19,763] 24 root - INFO - data validation is completed
[2025-01-17 12:02:19,763] 27 root - INFO - data transformation started
[2025-01-17 12:02:19,763] 56 root - INFO - Entered initate_data_transformation method of Datatransformation class
[2025-01-17 12:02:19,763] 58 root - INFO - Starting data transforamtion
[2025-01-17 12:02:19,812] 44 root - INFO - Entered get_data_transformer object method of transformation class
[2025-01-17 12:02:19,812] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-01-17 12:02:19,830] 45 root - INFO - Entered save_object method of mainutils class
[2025-01-17 12:02:19,830] 49 root - INFO - Exited the save_object method of mainutils class
[2025-01-17 12:02:19,830] 31 root - INFO - data transformation Completed
[2025-01-17 12:02:19,830] 32 root - INFO - model Training Started
